damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Metal,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Metal,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Metal,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unknown,Metal,Single Pane,Combustible,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Metal,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,Non Combustible,Non Combustible,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Drive,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Concrete,No Eaves,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Drive,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Concrete,No Eaves,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Drive,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Concrete,No Eaves,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Stucco Brick Cement,Multi Pane,Unknown,No Fence,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unknown,Metal,Unknown,Unknown,Unknown,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Unknown,Unknown,Unknown,Unknown,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Mixed Commercial/Residential,Mixed Commercial/Residential,Metal,Unknown,Wood,Single Pane,Unknown,Combustible,
No Damage,None,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Single Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Wood,No Windows,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Wood,Single Pane,No Patio Cover/Carport,Combustible,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,Unknown,Wood,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unknown,Wood,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Vinyl,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Multi Family Residence Single Story,Multiple Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Single Pane,Combustible,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,No Eaves,Wood,Multi Pane,Combustible,Combustible,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,No Windows,Combustible,Combustible,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,None,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,Single Pane,Combustible,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Stucco Brick Cement,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Drive,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Single Pane,Combustible,No Fence,
Destroyed (>50%),Drive,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Drive,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Combustible,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Multi Story,Nonresidential Commercial,Metal,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Lane,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unenclosed,Wood,Multi Pane,Combustible,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unenclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Metal,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,Combustible,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,No Eaves,Wood,Single Pane,Combustible,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,Single Pane,Combustible,Non Combustible,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,Combustible,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,Single Pane,Combustible,Combustible,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Metal,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Metal,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,Unenclosed,Other,Single Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Wood,Unenclosed,Unknown,Multi Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,Combustible,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Wood,No Windows,No Patio Cover/Carport,Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Non Combustible,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,Wood,No Windows,No Patio Cover/Carport,Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Metal,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Metal,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Wood,No Windows,Combustible,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,Combustible,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Other,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,Combustible,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,Single Pane,Combustible,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Circle,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Circle,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,No Fence,
Minor (10-25%),Circle,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Vinyl,Multi Pane,Combustible,No Fence,
No Damage,Circle,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Vinyl,Single Pane,Combustible,No Fence,
No Damage,Circle,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Vinyl,No Windows,Combustible,Combustible,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unknown,Wood,Single Pane,No Patio Cover/Carport,Combustible,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unknown,Wood,Single Pane,Unknown,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,Unknown,Combustible,No Fence,
Destroyed (>50%),Circle,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Circle,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,Combustible,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,Combustible,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Other,Single Pane,Non Combustible,Non Combustible,
Destroyed (>50%),Road,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Other,Single Pane,Combustible,Combustible,
Destroyed (>50%),Circle,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Circle,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,
Destroyed (>50%),Circle,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,Non Combustible,
No Damage,Circle,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,No Fence,
No Damage,None,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,Combustible,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Stucco Brick Cement,Single Pane,Combustible,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Other,No Eaves,Other,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Other,No Eaves,Other,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Other,No Eaves,Other,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Other,No Eaves,Other,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Other,No Eaves,Other,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Other,No Eaves,Other,Single Pane,Combustible,No Fence,
Destroyed (>50%),None,LMU,7/13/2021 12:00:00 AM,Mixed Commercial/Residential,Mixed Commercial/Residential,Metal,Unknown,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,Single Pane,No Patio Cover/Carport,Non Combustible,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,Combustible,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
