damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Combustible,No Windows,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Combustible,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Unknown,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Multi Family Residence Multi Story,Multiple Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Ignition Resistant,Single Pane,Non Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Non Combustible,No Fence,1920
